color,target,factor,n,levels,LR,df,p_value
green,2,geometry,705,3,3.091938804891015,2,0.2131051863698828
green,2,disposition,705,2,3.734110975025146,1,0.0533120300076316
purple,3,geometry,689,3,15.413131010450172,2,0.0004498638820795873
purple,3,disposition,689,2,0.5396480199654548,1,0.4625786349901908
red,4,geometry,706,3,7.098499808463998,2,0.028746193967770485
red,4,disposition,706,2,1.8075330384278914,1,0.17880444868369924
