predictor,term,coef_logit,ci_low,ci_high,p_value
disposition,C(disposition)[T.ID],-0.15455504699815414,-0.3244148091592638,0.015304715162955507,0.07452655146736596
geometry,C(geometry)[T.TA],-0.28654993732839795,-0.42587558643296525,-0.14722428822383066,5.553009530984495e-05
geometry,C(geometry)[T.TP],0.009632358604922954,-0.3361531284381404,0.3554178456479863,0.9564590087956194
